id,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20,feature21
79637,0.54177,0.64267,0.54365,0.53625,0.43622,0.4901,0.59626,0.4333,0.27936,0.59308,0.46092,0.54357,0.46998999999999996,0.6584800000000001,0.6141399999999999,0.4634,0.51415,0.54882,0.54992,0.39919,0.33837
77605,0.46513000000000004,0.55879,0.6138600000000001,0.48131,0.3993,0.41525,0.54916,0.5079600000000001,0.30567,0.60046,0.40060999999999997,0.49993999999999994,0.39465,0.66286,0.5836399999999999,0.38549,0.59305,0.61357,0.52784,0.46703999999999996,0.37416
109353,0.57906,0.57836,0.55062,0.5058199999999999,0.42531,0.53203,0.61312,0.39766999999999997,0.35144000000000003,0.5020899999999999,0.44545,0.48268,0.48368999999999995,0.63943,0.56807,0.48388000000000003,0.50785,0.5563,0.55099,0.43983,0.43468999999999997
52332,0.49406000000000005,0.57476,0.59178,0.50592,0.44061999999999996,0.54272,0.55,0.46093999999999996,0.25656999999999996,0.5827899999999999,0.44185,0.5241,0.43125,0.64981,0.6419,0.37122,0.56728,0.57653,0.6147,0.42991999999999997,0.36341999999999997
86969,0.59719,0.45569,0.55065,0.41891999999999996,0.45174,0.47165,0.56128,0.41783000000000003,0.48518999999999995,0.47753999999999996,0.43377,0.43311000000000005,0.48639,0.5776399999999999,0.45624,0.47852,0.5138,0.5674100000000001,0.52313,0.53296,0.55182
109365,0.5636399999999999,0.64025,0.48056000000000004,0.5546399999999999,0.5131399999999999,0.54065,0.48478999999999994,0.45843,0.38165,0.63536,0.50717,0.56165,0.5207,0.5444399999999999,0.46121999999999996,0.53484,0.46676000000000006,0.49596,0.42013999999999996,0.43723999999999996,0.35844000000000004
35495,0.45361999999999997,0.4399,0.67599,0.3505,0.34843,0.36173,0.59339,0.532,0.35933000000000004,0.54351,0.32483,0.39421999999999996,0.34337,0.70015,0.55789,0.3371,0.64632,0.68865,0.55142,0.56587,0.50625
82022,0.5250600000000001,0.63593,0.51578,0.5108600000000001,0.4993,0.48471000000000003,0.5187,0.48306000000000004,0.28549,0.6833,0.49015,0.57891,0.4787,0.60853,0.56994,0.44698000000000004,0.5072399999999999,0.52755,0.52405,0.42393000000000003,0.32192
18111,0.5200600000000001,0.49208,0.5633600000000001,0.44993999999999995,0.45782,0.51277,0.4663,0.50867,0.46183,0.55219,0.41998,0.44215,0.45128,0.5395800000000001,0.38166,0.47568,0.5443600000000001,0.57898,0.38832,0.55889,0.5021399999999999
483,0.5493399999999999,0.34994000000000003,0.64394,0.35345,0.37328,0.32116,0.60701,0.43028999999999995,0.4979,0.42481,0.36154000000000003,0.38566999999999996,0.40533,0.64976,0.53155,0.371,0.59991,0.6482600000000001,0.62922,0.56272,0.59548
150968,0.7209300000000001,0.7186600000000001,0.39105999999999996,0.63976,0.54348,0.42453,0.65362,0.25695,0.31867,0.57352,0.61827,0.69035,0.63345,0.61333,0.69122,0.57311,0.35429,0.39607,0.69401,0.24805,0.26811999999999997
146811,0.36830999999999997,0.47836999999999996,0.6906899999999999,0.41097,0.38245999999999997,0.57088,0.45661,0.612,0.30596999999999996,0.59641,0.32788,0.3998,0.31997,0.62939,0.49101999999999996,0.31519,0.67783,0.68313,0.43873999999999996,0.58695,0.45965
63072,0.52148,0.6543800000000001,0.5042300000000001,0.5098699999999999,0.52673,0.64761,0.48553999999999997,0.497,0.26338,0.6877300000000001,0.49651999999999996,0.55558,0.49287,0.57612,0.52836,0.46401000000000003,0.49672,0.51637,0.47768999999999995,0.44814,0.34298
11818,0.43733999999999995,0.64828,0.58368,0.51791,0.46166,0.57539,0.50167,0.53588,0.17929,0.69919,0.44633,0.55985,0.41158,0.6483399999999999,0.63154,0.36436,0.5774199999999999,0.57602,0.54102,0.42713999999999996,0.28465
110484,0.5614,0.71919,0.38134,0.61158,0.68161,0.7347600000000001,0.32121,0.49651999999999996,0.31006,0.7933100000000001,0.6280600000000001,0.68283,0.5955600000000001,0.41821,0.4266,0.53541,0.40299,0.38806999999999997,0.40057,0.40373000000000003,0.25868
63,0.48226,0.55015,0.59178,0.46961,0.44045,0.55177,0.51195,0.5069,0.31665,0.59119,0.41802,0.479,0.42263,0.6145,0.5313,0.40481,0.572,0.59241,0.50003,0.49675,0.41685
57784,0.48568,0.53975,0.6168600000000001,0.45424,0.3975,0.48163,0.57449,0.48741999999999996,0.30535,0.56105,0.39332,0.46493999999999996,0.40331999999999996,0.66756,0.58491,0.3885,0.5877899999999999,0.6181300000000001,0.5496800000000001,0.48478999999999994,0.42218999999999995
57135,0.50057,0.5345,0.56866,0.49521000000000004,0.46766,0.55708,0.46736000000000005,0.49578,0.37559000000000003,0.5774199999999999,0.44191,0.49106000000000005,0.44803999999999994,0.56245,0.47816000000000003,0.43125,0.55182,0.5656,0.46934,0.49988,0.42796999999999996
99871,0.5342100000000001,0.4781,0.52441,0.51105,0.53055,0.56763,0.36641,0.49158,0.50584,0.5581,0.4825,0.49823999999999996,0.49421000000000004,0.44833,0.34576999999999997,0.47663999999999995,0.51669,0.51993,0.39639,0.53719,0.47958999999999996
151799,0.52289,0.56166,0.5704,0.48202,0.448,0.49406000000000005,0.5584399999999999,0.4557,0.30853,0.58196,0.4456,0.51503,0.44891000000000003,0.6371,0.59647,0.40747,0.54573,0.56953,0.5834199999999999,0.44938999999999996,0.39436
25575,0.47275,0.59446,0.55087,0.53341,0.48596000000000006,0.48851000000000006,0.44018999999999997,0.52742,0.32787,0.66696,0.46624,0.56055,0.44366000000000005,0.56634,0.50539,0.42391,0.54876,0.54848,0.45537,0.45801000000000003,0.3322
142585,0.4603,0.61255,0.56405,0.5108,0.48668,0.6139100000000001,0.45924,0.53323,0.25617,0.6711,0.45566,0.53632,0.43575,0.58982,0.54247,0.40073000000000003,0.55842,0.56009,0.48353,0.46545,0.34064
87723,0.40942,0.62962,0.51156,0.57124,0.58692,0.69257,0.23731999999999998,0.62755,0.37374,0.80162,0.50583,0.58933,0.45947,0.43331000000000003,0.34508,0.44761999999999996,0.5414100000000001,0.5065,0.28268000000000004,0.51026,0.29605
24876,0.51955,0.56693,0.5261,0.5372899999999999,0.50674,0.51266,0.43759,0.48599,0.3866,0.61764,0.48733000000000004,0.55183,0.48052,0.5311,0.47158,0.45642,0.5180899999999999,0.52312,0.462,0.463,0.37678
1896,0.45305,0.36929,0.69039,0.34025,0.33635,0.49094,0.5222100000000001,0.5547300000000001,0.48867,0.44597,0.28667,0.28951,0.34379,0.6131,0.36887,0.40012,0.6534,0.70563,0.38129,0.6674899999999999,0.6355
92883,0.6220899999999999,0.50185,0.50813,0.51586,0.47883000000000003,0.40036,0.53567,0.37940999999999997,0.49914,0.48808,0.49058999999999997,0.51875,0.52487,0.54683,0.47536000000000006,0.50976,0.47588,0.51256,0.533,0.45542,0.46826
130731,0.63242,0.4344,0.58623,0.3956,0.37238000000000004,0.35895,0.69868,0.3507,0.47823000000000004,0.38731,0.3955,0.3997,0.46973000000000004,0.67415,0.55642,0.4691,0.5252600000000001,0.6045,0.6279600000000001,0.5037,0.58078
70990,0.48846000000000006,0.56534,0.58596,0.46271999999999996,0.43144,0.52781,0.53174,0.50974,0.31551,0.5984,0.41273999999999994,0.47489,0.42373,0.62646,0.52353,0.42448,0.56501,0.59554,0.47746000000000005,0.49813999999999997,0.41602
41118,0.5604399999999999,0.5131899999999999,0.51067,0.51535,0.50757,0.51469,0.42333000000000004,0.46765,0.52371,0.5604,0.47878999999999994,0.49943999999999994,0.50566,0.48363999999999996,0.3567,0.52103,0.49566000000000004,0.51927,0.38643,0.5170100000000001,0.46842
37746,0.29119,0.57452,0.75368,0.43283,0.32695,0.67251,0.53281,0.63062,0.08632999999999999,0.64469,0.29307,0.41572,0.25671,0.75461,0.68675,0.22252,0.73548,0.72844,0.54929,0.51856,0.34948
37794,0.40446,0.49354,0.7076899999999999,0.40092,0.33451,0.52636,0.58495,0.54204,0.24631999999999998,0.54306,0.31609,0.39599,0.31917,0.7232,0.62561,0.29696999999999996,0.67511,0.69822,0.57348,0.5333899999999999,0.45308999999999994
10458,0.37444,0.34094,0.75178,0.28906,0.32771999999999996,0.5483899999999999,0.49988,0.61468,0.39603,0.49263999999999997,0.25106,0.27355999999999997,0.28013000000000005,0.6494,0.43881000000000003,0.2862,0.72359,0.75393,0.45078,0.69413,0.62455
50020,0.50945,0.47648,0.55278,0.5472199999999999,0.5082899999999999,0.60159,0.35556,0.4799,0.53551,0.54633,0.46978000000000003,0.49628999999999995,0.47694,0.46085,0.37138000000000004,0.45824,0.54063,0.5317,0.42105,0.5201899999999999,0.46016999999999997
145682,0.5826600000000001,0.45477,0.57502,0.42165,0.41811000000000004,0.41567,0.5907399999999999,0.417,0.46651000000000004,0.46588999999999997,0.41418,0.4314,0.46293,0.61312,0.49506000000000006,0.45842,0.5344899999999999,0.5885,0.54699,0.5200199999999999,0.53733
98316,0.45303000000000004,0.33037,0.7359600000000001,0.29832,0.27318000000000003,0.23970999999999998,0.6330600000000001,0.52268,0.45942,0.43493000000000004,0.25785,0.31206,0.30054000000000003,0.72343,0.5225,0.32122,0.69147,0.7490600000000001,0.55075,0.62351,0.6087899999999999
